2019-09-25 12:27:37.318852,40,24,432,14
2019-09-25 12:27:47.318857,28,75,1605,112
2019-09-25 12:27:57.319639,13,35,635,131
2019-09-25 12:28:07.319587,56,90,1988,32
2019-09-25 12:28:17.320114,5,86,1235,20
2019-09-25 12:28:27.320301,47,62,960,142
2019-09-25 12:28:37.320393,57,27,1906,32
2019-09-25 12:28:47.321022,50,88,892,46
2019-09-25 12:28:57.321390,28,86,1437,110
2019-09-25 12:29:07.322249,63,5,1531,131
2019-09-25 12:29:17.322504,44,11,372,128
2019-09-25 12:29:27.322778,15,74,883,148
2019-09-25 12:29:37.323118,26,4,498,152
2019-09-25 12:29:47.323673,53,73,862,49
2019-09-25 12:29:57.324532,59,59,489,94
2019-09-25 12:30:07.324788,58,69,1750,93
2019-09-25 12:30:17.325334,34,19,1942,41
2019-09-25 12:30:27.325422,54,88,580,158
2019-09-25 12:30:37.326350,25,72,335,78
2019-09-25 12:30:47.326580,14,36,1325,121
2019-09-25 12:30:57.326702,29,3,952,112
2019-09-25 12:31:07.327579,62,75,661,77
2019-09-25 12:31:17.327937,49,38,546,156
2019-09-25 12:31:27.338410,60,84,1291,124
2019-09-25 12:31:37.338362,21,1,1876,93
2019-09-25 12:31:47.339137,61,80,1426,60
2019-09-25 12:31:57.339505,59,11,1486,140
2019-09-25 12:32:07.340072,44,2,339,161
2019-09-25 12:32:17.340285,50,38,922,91
2019-09-25 12:32:27.341039,34,27,1180,32
2019-09-25 12:32:37.341420,9,9,1389,92
2019-09-25 12:32:47.341425,13,66,486,129
2019-09-25 12:32:57.341430,16,83,292,143
2019-09-25 12:33:07.341667,28,1,368,28
2019-09-25 12:33:17.342237,51,88,405,46
2019-09-25 12:33:27.342752,20,55,996,33
2019-09-25 12:33:37.343070,25,18,279,88
2019-09-25 12:33:47.343870,28,78,935,48
2019-09-25 12:33:57.344790,58,49,1547,200
2019-09-25 12:34:07.344795,10,41,1190,13
2019-09-25 12:34:17.345214,38,55,481,21
2019-09-25 12:34:27.345925,19,57,1206,58
2019-09-25 12:34:37.346875,24,9,854,59
2019-09-25 12:34:47.347108,35,62,944,99
2019-09-25 12:34:57.347549,35,23,1237,97
2019-09-25 12:35:07.347699,10,80,1903,135
2019-09-25 12:35:17.348673,20,81,952,115
2019-09-25 12:35:27.349214,27,31,1521,181
2019-09-25 12:35:37.349686,15,83,1359,56
2019-09-25 12:35:47.349993,27,44,760,17
